Set,Fold,Score
Train,1,0.9189464308056975
Test,1,0.742268041305389
Train,2,0.9906935237123916
Test,2,0.7398648654018436
Train,3,0.9832201868971346
Test,3,0.6886486494863355
Train,4,0.9959958667011108
Test,4,0.694949495551562
Train,5,0.9962801436634171
Test,5,0.7660256410256411
Train,6,0.99266658237451
Test,6,0.7095990272223008
Train,7,0.8910564985612328
Test,7,0.702863961956097
Train,8,0.9962149886449659
Test,8,0.7096774195027411
Train,9,0.9973471450227388
Test,9,0.7977941176470589
Train,10,0.9934135528815706
Test,10,0.7491039426523297
