set,fold,accuracy
Train,1,1.0
Test,1,0.36769759450171824
Train,2,1.0
Test,2,0.40653153153153154
Train,3,1.0
Test,3,0.38594594594594595
Train,4,1.0
Test,4,0.36666666666666664
Train,5,1.0
Test,5,0.4326923076923077
Train,6,1.0
Test,6,0.36938031591737547
Train,7,1.0
Test,7,0.43675417661097854
Train,8,1.0
Test,8,0.36228287841191065
Train,9,1.0
Test,9,0.49142156862745096
Train,10,1.0
Test,10,0.3847072879330944
